user: alet     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 03:07:38
user: alet     |    Total score: 15     |      Stages won: 3       |     Achieved on: 2024-05-17 03:07:41
user: alet     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 03:07:43
user: alet     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 03:07:44
user: alet     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 03:07:45
user: alet     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 03:07:45
user: alet     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 03:07:47
user: alet     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 03:07:47
user: alet     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 03:08:22
user: alet     |    Total score: 10     |      Stages won: 2       |     Achieved on: 2024-05-17 03:08:25
user: alet     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 03:08:25
user: alet     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 03:08:25
user: alet     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 03:08:26
user: alet     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 03:08:26
user: alet     |    Total score: 45     |      Stages won: 9       |     Achieved on: 2024-05-17 03:08:29
user: alet     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 03:08:29
user: alet     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 03:08:30
user: alet     |    Total score: 24     |      Stages won: 5       |     Achieved on: 2024-05-17 03:08:31
user: alet     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 03:08:32
user: alet     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 10:30:26
user: alet     |    Total score: 16     |      Stages won: 3       |     Achieved on: 2024-05-17 10:30:31
user: alet     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 10:49:19
user: papi     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 11:47:45
user: papi     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 11:47:47
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 11:47:47
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 11:47:48
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 11:47:49
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 11:47:49
user: papi     |    Total score: 6     |      Stages won: 1       |     Achieved on: 2024-05-17 11:47:52
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 11:47:53
user: papi     |    Total score: 10     |      Stages won: 2       |     Achieved on: 2024-05-17 11:47:55
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 11:47:55
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 11:47:56
user: papi     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 11:47:57
user: papi     |    Total score: 10     |      Stages won: 2       |     Achieved on: 2024-05-17 11:47:59
user: papi     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 11:48:00
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 11:48:00
user: papi     |    Total score: 10     |      Stages won: 2       |     Achieved on: 2024-05-17 11:48:02
user: papi     |    Total score: 4     |      Stages won: 1       |     Achieved on: 2024-05-17 11:48:03
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 11:48:04
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 11:48:04
user: papi     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 11:48:05
user: papi     |    Total score: 6     |      Stages won: 1       |     Achieved on: 2024-05-17 11:48:07
user: papi     |    Total score: 10     |      Stages won: 2       |     Achieved on: 2024-05-17 11:48:09
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 11:48:09
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 11:48:10
user: papi     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 11:48:11
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 11:48:12
user: papi     |    Total score: 15     |      Stages won: 3       |     Achieved on: 2024-05-17 11:48:14
